10-22285,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002957610.jpg?fitin=700:700,10575.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒児玉工業/コダマ　圧着ソケット鋼管マルチ継手型３２Ａ【M32A】(3537234) 受注単位1,工事用品\管工機材\配管補修用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●パイプの中身を抜かずに、運転中に漏れ止めができますから、設備の稼動停止や、エア抜きなどは一切不要です。<br>●鋼管と様々なねじ込み継手（バルブ・フランジ・ドレンねじ・ユニオンなど）との接続箇所からの漏れを止めることができます。<br>●継手の端面のみを押さえるため、継手の寸法や形状に関係なく使用できます。<br>●取り付けや締め込みは至って簡単です。単にネジを締めるだけですから、5～10分で作業は完了します。",『カード対応OK！』■〒児玉工業/コダマ　圧着ソケット鋼管マルチ継手型３２Ａ【M32A】(3537234) 受注単位1：クローバー資材館,『カード対応OK！』■〒児玉工業/コダマ　圧着ソケット鋼管マルチ継手型３２Ａ【M32A】(3537234) 受注単位1,工事用品\管工機材\配管補修用品。『カード対応OK！』■〒児玉工業/コダマ　圧着ソケット鋼管マルチ継手型３２Ａ【M32A】(3537234) 受注単位1[rn]
10-22286,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005148021.jpg?fitin=700:700,6496.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒児玉工業/コダマ　圧着ソケット鋼管兼用型２５Ａ【S25A】(2972646) 受注単位1,工事用品\管工機材\配管補修用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●パイプの中身を抜かずに、運転中に漏れ止めができますから、設備の稼動停止や、エア抜きなどは一切不要です。<br>●鋼管のチーズ・エルボ・ソケットなどの継手部のねじ切り箇所からの漏れや、直管部のピンホールの漏れも修理することができます。<br>●取り付けや締め込みは至って簡単です。単にねじを締めるだけですから、5～10分で作業は完了します。直管部はもとより、継手（エルボ・チーズ・ソケットなど）との接続部も漏れ止めができます。",『カード対応OK！』■〒児玉工業/コダマ　圧着ソケット鋼管兼用型２５Ａ【S25A】(2972646) 受注単位1：クローバー資材館,『カード対応OK！』■〒児玉工業/コダマ　圧着ソケット鋼管兼用型２５Ａ【S25A】(2972646) 受注単位1,工事用品\管工機材\配管補修用品。『カード対応OK！』■〒児玉工業/コダマ　圧着ソケット鋼管兼用型２５Ａ【S25A】(2972646) 受注単位1[rn]
10-22287,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002957610.jpg?fitin=700:700,9064.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒児玉工業/コダマ　圧着ソケット鋼管マルチ継手型２０Ａ【M20A】(3537218) 受注単位1,工事用品\管工機材\配管補修用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●パイプの中身を抜かずに、運転中に漏れ止めができますから、設備の稼動停止や、エア抜きなどは一切不要です。<br>●鋼管と様々なねじ込み継手（バルブ・フランジ・ドレンねじ・ユニオンなど）との接続箇所からの漏れを止めることができます。<br>●継手の端面のみを押さえるため、継手の寸法や形状に関係なく使用できます。<br>●取り付けや締め込みは至って簡単です。単にネジを締めるだけですから、5～10分で作業は完了します。",『カード対応OK！』■〒児玉工業/コダマ　圧着ソケット鋼管マルチ継手型２０Ａ【M20A】(3537218) 受注単位1：クローバー資材館,『カード対応OK！』■〒児玉工業/コダマ　圧着ソケット鋼管マルチ継手型２０Ａ【M20A】(3537218) 受注単位1,工事用品\管工機材\配管補修用品。『カード対応OK！』■〒児玉工業/コダマ　圧着ソケット鋼管マルチ継手型２０Ａ【M20A】(3537218) 受注単位1[rn]
10-22288,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004397135.jpg?fitin=700:700,1541.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒旭有機材工業/アサヒＡＶ　ウォーターＢＶ　ＰＶＣ／ＥＰＤＭ　　ネジ込み１５Ａ【VWBUENJ015】(3753026) 受注単位1,工事用品\管工機材\塩ビ管継手,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●1品種、1材質のみとし量産性を追及したコストパフォーマンスに優れた製品です。<br>●安定したシール性能を発揮します。(シート部にバックアップOリングを装着）<br>●簡易的なトップフランジ構造です。（手軽に自動弁に切替が可能）",『カード対応OK！』■〒旭有機材工業/アサヒＡＶ　ウォーターＢＶ　ＰＶＣ／ＥＰＤＭ　　ネジ込み１５Ａ【VWBUENJ015】(3753026) 受注単位1：クローバー資材館,『カード対応OK！』■〒旭有機材工業/アサヒＡＶ　ウォーターＢＶ　ＰＶＣ／ＥＰＤＭ　　ネジ込み１５Ａ【VWBUENJ015】(3753026) 受注単位1,工事用品\管工機材\塩ビ管継手。『カード対応OK！』■〒旭有機材工業/アサヒＡＶ　ウォーターＢＶ　ＰＶＣ／ＥＰＤＭ　　ネジ込み１５Ａ【VWBUENJ015】(3753026) 受注単位1[rn]
10-22289,,29.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒クボタシーアイ【TST13】(4465423) ＴＳ継手　チーズ　ＴＳ－Ｔ　１３ 受注単位1,工事用品\管工機材\塩ビ管継手,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●耐食性、耐薬品性に優れた継手です。<br><br>●集合住宅・戸建住宅・店舗・施設などの給水管。<br><br>●塩ビ管呼び径：13<br>●寸法(mm)D：24<br>●寸法(mm)H：36<br>●寸法(mm)Z1：10<br>●寸法(mm)Z2：10<br>●寸法(mm)I：36<br>●質量(g)：32<br><br>●使用温度範囲：5～35℃<br>●最高使用圧力：1.0ＭＰａ<br>●JIS　K6743規格<br><br>●硬質ポリ塩化ビニール（PVC）<br>",『カード対応OK！』■〒クボタシーアイ【TST13】(4465423) ＴＳ継手　チーズ　ＴＳ&minus;Ｔ　１３ 受注単位1：クローバー資材館,『カード対応OK！』■〒クボタシーアイ【TST13】(4465423) ＴＳ継手　チーズ　ＴＳ&minus;Ｔ　１３ 受注単位1,工事用品\管工機材\塩ビ管継手。『カード対応OK！』■〒クボタシーアイ【TST13】(4465423) ＴＳ継手　チーズ　ＴＳ&minus;Ｔ　１３ 受注単位1[rn]
10-22290,,578.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒クボタシーアイ【HIT50】(4464206) ＨＩ継手　チーズ　ＨＩ－Ｔ　５０ 受注単位1,工事用品\管工機材\塩ビ管継手,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●低温時でも優れた耐衝撃性を維持し、寒冷期や他管工事での衝撃による被害を最小限に抑えます。<br><br>●集合住宅・戸建住宅・店舗・施設などの給水管。寒冷期や他管工事に使用。<br><br>●塩ビ管呼び径：50<br>●寸法(mm)D：70<br>●寸法(mm)H：96<br>●寸法(mm)Z1：33<br>●寸法(mm)Z2：33<br>●寸法(mm)I：96<br>●質量(g)：425<br><br>●使用温度範囲：5～35℃<br>●最高使用圧力：1.0ＭＰａ<br>●JIS　K6743規格<br>●衝撃強さ（シャルピー）17.7以上<br><br>●耐衝撃性硬質ポリ塩化ビニール（Hi-PVC）<br>",『カード対応OK！』■〒クボタシーアイ【HIT50】(4464206) ＨＩ継手　チーズ　ＨＩ&minus;Ｔ　５０ 受注単位1：クローバー資材館,『カード対応OK！』■〒クボタシーアイ【HIT50】(4464206) ＨＩ継手　チーズ　ＨＩ&minus;Ｔ　５０ 受注単位1,工事用品\管工機材\塩ビ管継手。『カード対応OK！』■〒クボタシーアイ【HIT50】(4464206) ＨＩ継手　チーズ　ＨＩ&minus;Ｔ　５０ 受注単位1[rn]
10-22291,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005122229.jpg?fitin=700:700,210.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒積水化学工業/Ｋセキスイ　エスロン　ＤＶ継手（９０°Ｙ）ＤＴ５０【DDT50】(2544415) 受注単位1,工事用品\管工機材\塩ビ管継手,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒積水化学工業/Ｋセキスイ　エスロン　ＤＶ継手（９０&deg;Ｙ）ＤＴ５０【DDT50】(2544415) 受注単位1：クローバー資材館,『カード対応OK！』■〒積水化学工業/Ｋセキスイ　エスロン　ＤＶ継手（９０&deg;Ｙ）ＤＴ５０【DDT50】(2544415) 受注単位1,工事用品\管工機材\塩ビ管継手。『カード対応OK！』■〒積水化学工業/Ｋセキスイ　エスロン　ＤＶ継手（９０&deg;Ｙ）ＤＴ５０【DDT50】(2544415) 受注単位1[rn]
10-22292,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002904074.jpg?fitin=700:700,113.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒積水化学工業/Ｋセキスイ　エスロン　ＴＳ継手　４５°エルボ　２０【TS4L20】(2543591) 受注単位1,工事用品\管工機材\塩ビ管継手,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒積水化学工業/Ｋセキスイ　エスロン　ＴＳ継手　４５&deg;エルボ　２０【TS4L20】(2543591) 受注単位1：クローバー資材館,『カード対応OK！』■〒積水化学工業/Ｋセキスイ　エスロン　ＴＳ継手　４５&deg;エルボ　２０【TS4L20】(2543591) 受注単位1,工事用品\管工機材\塩ビ管継手。『カード対応OK！』■〒積水化学工業/Ｋセキスイ　エスロン　ＴＳ継手　４５&deg;エルボ　２０【TS4L20】(2543591) 受注単位1[rn]
10-22293,,264.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TPS-HN1-S】(4457994)配管用ステッカー 方向表示 黒 小 ５枚入 受注単位1,工事用品\管工機材\バルブ開閉札,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●水・熱に強いアルミ製です。<br>●管内の物質の流れ方向を矢印で表示することができます。<br>●各種配管の表示に<br>●色:黒<br>●縦(mm):40<br>●横(mm):80<br>●タイプ:その他<br>●シール<br>●アルミ<br>",『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TPS-HN1-S】(4457994)配管用ステッカー 方向表示 黒 小 ５枚入 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TPS-HN1-S】(4457994)配管用ステッカー 方向表示 黒 小 ５枚入 受注単位1,工事用品\管工機材\バルブ開閉札。『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TPS-HN1-S】(4457994)配管用ステッカー 方向表示 黒 小 ５枚入 受注単位1[rn]
10-22294,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002960948.jpg?fitin=700:700,6949.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒南国フレキ工業/ＮＦＫ　ユニオン・ニップル型フレキ　継手ＦＣＭＢ　５０Ａ×３００Ｌ【NK190-50-300】(2184605) 受注単位1,工事用品\管工機材\フレキ管,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●簡単に配管ができ、スムーズに作業ができます。",『カード対応OK！』■〒南国フレキ工業/ＮＦＫ　ユニオン・ニップル型フレキ　継手ＦＣＭＢ　５０Ａ&times;３００Ｌ【NK190-50-300】(2184605) 受注単位1：クローバー資材館,『カード対応OK！』■〒南国フレキ工業/ＮＦＫ　ユニオン・ニップル型フレキ　継手ＦＣＭＢ　５０Ａ&times;３００Ｌ【NK190-50-300】(2184605) 受注単位1,工事用品\管工機材\フレキ管。『カード対応OK！』■〒南国フレキ工業/ＮＦＫ　ユニオン・ニップル型フレキ　継手ＦＣＭＢ　５０Ａ&times;３００Ｌ【NK190-50-300】(2184605) 受注単位1[rn]
10-22295,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002659811.jpg?fitin=700:700,163.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ニチアス/ニチアス　ＮＡジョイントシ－トガスケット【1995-10K40A】(2829428) 受注単位1,工事用品\管工機材\フランジ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●アスベストを一切含まない汎用のジョイントシートです。",『カード対応OK！』■〒ニチアス/ニチアス　ＮＡジョイントシ&minus;トガスケット【1995-10K40A】(2829428) 受注単位1：クローバー資材館,『カード対応OK！』■〒ニチアス/ニチアス　ＮＡジョイントシ&minus;トガスケット【1995-10K40A】(2829428) 受注単位1,工事用品\管工機材\フランジ。『カード対応OK！』■〒ニチアス/ニチアス　ＮＡジョイントシ&minus;トガスケット【1995-10K40A】(2829428) 受注単位1[rn]
10-22296,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002659936.jpg?fitin=700:700,303.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒アソー/ＡＳＯＨ　リングエルボ（１／８×６Φ）【RL-1106】(1767755) 受注単位1,工事用品\管工機材\小径配管継手,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒アソー/ＡＳＯＨ　リングエルボ（１／８&times;６Φ）【RL-1106】(1767755) 受注単位1：クローバー資材館,『カード対応OK！』■〒アソー/ＡＳＯＨ　リングエルボ（１／８&times;６Φ）【RL-1106】(1767755) 受注単位1,工事用品\管工機材\小径配管継手。『カード対応OK！』■〒アソー/ＡＳＯＨ　リングエルボ（１／８&times;６Φ）【RL-1106】(1767755) 受注単位1[rn]
10-22297,,148.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒トラスコ中山/ＴＲＵＳＣＯ 継手【TS-8A】(8191439) ＴＲＵＳＣＯ ねじ込み管継手 ＳＵＳ ストレートソケット 8Ａ 発注単位1,工事用品\管工機材,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●様々な設備に利用されるステンレス製のねじ込み継手です。<br>
●水・油・ガス用。<br>
●呼び径(A):8<br>
●呼び径(B):1/4<br>
●最高許容圧力(MPa):常温1.0<br>
●使用温度範囲(℃):-20～220℃<br>
●L(mm):24<br>
●D(mm):16.7<br>
●最高使用圧力:常温1.0MPa<br>
●使用温度範囲:-20℃～220℃<br>
●ステンレス304",■〒トラスコ中山/ＴＲＵＳＣＯ 継手【TS-8A】(8191439) ＴＲＵＳＣＯ ねじ込み管継手 ＳＵＳ ストレートソケット 8Ａ 発注単位1：クローバー資材館,■〒トラスコ中山/ＴＲＵＳＣＯ 継手【TS-8A】(8191439) ＴＲＵＳＣＯ ねじ込み管継手 ＳＵＳ ストレートソケット 8Ａ 発注単位1,工事用品\管工機材。■〒トラスコ中山/ＴＲＵＳＣＯ 継手【TS-8A】(8191439) ＴＲＵＳＣＯ ねじ込み管継手 ＳＵＳ ストレートソケット 8Ａ 発注単位1[rn]
10-22298,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002969547.jpg?fitin=700:700,641.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日鉄住金機工/住金　白鋼管製エルボロング９０°【G90L-SGP-15A  (1/2)】(1600290) 受注単位1,工事用品\管工機材\溶接継手,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒日鉄住金機工/住金　白鋼管製エルボロング９０&deg;【G90L-SGP-15A  (1/2)】(1600290) 受注単位1：クローバー資材館,『カード対応OK！』■〒日鉄住金機工/住金　白鋼管製エルボロング９０&deg;【G90L-SGP-15A  (1/2)】(1600290) 受注単位1,工事用品\管工機材\溶接継手。『カード対応OK！』■〒日鉄住金機工/住金　白鋼管製エルボロング９０&deg;【G90L-SGP-15A  (1/2)】(1600290) 受注単位1[rn]
10-22299,,12960.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒メンテックカンザイ/ＣｅｌｌＦｒｅｓｈ【CELLFRESH】(7642971) セルフレッシュネット 受注単位1,工事用品\管工機材\エアコン用部材,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●特殊セラミックでエアコンのエネルギーコストを削減します。<br>●結束バンドで簡単に取付ができます。<br><br><br>●縦×横(mm)：488±2.0×488±2.0<br>●厚み(mm)：2.6<br><br>●色：アイボリー<br>●耐熱温度：-72～80℃<br><br>●特殊セラミック、低密度ポリエチレン<br>",『カード対応OK！』■〒メンテックカンザイ/ＣｅｌｌＦｒｅｓｈ【CELLFRESH】(7642971) セルフレッシュネット 受注単位1：クローバー資材館,『カード対応OK！』■〒メンテックカンザイ/ＣｅｌｌＦｒｅｓｈ【CELLFRESH】(7642971) セルフレッシュネット 受注単位1,工事用品\管工機材\エアコン用部材。『カード対応OK！』■〒メンテックカンザイ/ＣｅｌｌＦｒｅｓｈ【CELLFRESH】(7642971) セルフレッシュネット 受注単位1[rn]
10-22300,,8164.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日晴金属【C-WG】(7643641) クーラーキャッチャー 受注単位1,工事用品\管工機材\エアコン据付台,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●エアコンの据付台です。<br><br>●二段置き用。<br><br>●使用荷重(kg)：160<br>●エアコン固定寸法幅ｘ奥行(mm)：300～700×160～340<br>●質量(kg)：10.8<br><br>●色調：アイボリー<br><br>●ZAM［［（Ｒ）］］＋粉体塗装<br>",『カード対応OK！』■〒日晴金属【C-WG】(7643641) クーラーキャッチャー 受注単位1：クローバー資材館,『カード対応OK！』■〒日晴金属【C-WG】(7643641) クーラーキャッチャー 受注単位1,工事用品\管工機材\エアコン据付台。『カード対応OK！』■〒日晴金属【C-WG】(7643641) クーラーキャッチャー 受注単位1[rn]
